code,glottolog,ru,en,comment,lat,long
sgh-x-bartang,bart1238,пам. барт.,Bartangi,,38.21974,72.11835
sgh-x-khufi,khuf1238,хуф.,Khufi,,37.8595,71.60373
sgh-x-oroshori,oros1238,пам. ор.,Oroshori,,38.38796,72.7418
sgr,sang1315,сангисарское,Sangsari,,35.72,53.3
sgy,sang1344,пам. сгл.,Sanglechi,,36.45,71.3
sgy-x-zebak,zeba1237,пам. зеб.,Zebaki,may actually be a variety of Ishkashimi; coordinates of Zebak district,36.5469,71.3423
sh,sout1528,сербо-хорв.,Serbo-Croatian,,44.15,18.81
sk,slov1269,словац.,Slovak,,48.55,18.78
sl,slov1268,слов.,Slovenian,,46.2543,14.7766
sla,slav1255,слав.,Slavic,coordinates of Rusyn (roughly at the centre of historical Slavic territory),48.72,22.96
smi,saam1281,лопар.,Saami,coordinates of Kemi Saami,67.09,27.54
smi-x-sm,saam1281,саам.,Saami,coordinates of Kemi Saami; Abaev used «лопар.» in the earlier volumes so these are viewed as distinct,67.09,27.54
smy,semn1251,семнан.,Semnani,,35.53,53.29
sog,sogd1245,согд.,Sogdian,,39.7,66.983
sog-x-budd,sogd1245,согд. будд.,Buddhist Sogdian,,39.7,66.983
sog-x-chr,sogd1245,согд. христ.,Christian Sogdian,,39.7,66.983
sog-x-man,sogd1245,согд. ман.,Manichaean Sogdian,,39.7,66.983
sog-x-mugh,sogd1245,согд. (Муг),Sogdian (Mugh),,39.7,66.983
sqj,alba1267,алб.,Albanian,coordinates of Northern Tosk,41.00,20.00
sr,serb1264,серб.,Serbian,,44.3238,21.9192
srh,sari1246,пам. с.,Sarikoli,,37.905,75.1449
sty,tobo1250,тобол.,Tobol Tatar,,58.1896,68.2581
sux,sume1241,шумер.,Sumerian,,31.3,45.6667
sv,swed1254,швед.,Swedish,,59.800634,17.389526
sv-x-dial,swed1254,швед. (диал.),Swedish (dialectal),,59.800634,17.389526
sva,svan1243,сван.,Svan,,42.9134,42.5915
syd,samo1298,самодийское,Samoyedic,coordinates of Forest Enets,68.60,86.50
syd-x-south,samo1298,южносамодийское,South Samoyedic,coordinates of Selkup,59.94,82.30
syr,clas1252,сир.,Syriac,,37.1129,42.1432
ta,tami1289,тамил.,Tamil,,10.52,78.83
tab,taba1259,табас.,Tabassaran,,42.0198,47.8379
tg,taji1245,тадж.,Tajik,,38.8213,68.5549
tg-x-dial,taji1245,тадж. (диал.),Tajik (dialectal),,38.8213,68.5549
tg-x-qrtg,kara1511,тадж. (каратег.),Tajik (Qarategin),coordinates of Rasht Valley,39.0863,70.7011
tg-x-vanj,taji1245,тадж. (вандж.),Tajik (Vanj),add coordinates,38.8213,68.5549
tin,tind1238,тинд.,Tindi,,42.33,45.92
tk,turk1304,туркм.,Turkmen,,37.08719,59.17574
tkr,tsak1249,цахур.,Tsakhur,,41.5916,46.8858
tly,taly1247,тал.,Talyshi,,38.4552,48.6349
tr,nucl1301,тур.,Turkish,,39.8667,32.8667
tr-x-anat,anat1259,анат.,Anatolian Turkish,,39.87,32.87
trk,turk1311,тюрк.,Turkic,,-99,-99
trk-x-north,turk1311,сев. тюрк.,North Turkic,"Unclear: Kipchak or Siberian? Coordinates of Bashkir, on the assumption that this refers to Kipchak",53.60,56.56
tt,tata1255,татар.,Tatar,,55.79592,49.11577
tt-x-dial,tata1255,татар. (диал.),Tatar (dialectal),,55.79592,49.11577
tt-x-kazan,kaza1250,казан.,Kazan Tatar,,55.796389,49.108889
ttt,cauc1242,татск.,Tat,coordinates of Muslim Tat,41.43,46.65
txb,tokh1243,тохар. B,Tocharian B,,41.65,82.9
txh,thra1250,фрак.,Thracian,,42.115469,24.711977
uby,ubyk1235,убых.,Ubykh,,43.67,39.67
udi,udii1243,удин.,Udi,,40.9,47.7236
udm,udmu1245,удм.,Udmurt,,56.12921,52.63548
ug,uigh1240,уйгур.,Uyghur,,43.88,87.38
ug-x-kashgar,kash1278,кашг.,Kashgari Uyghur,,39.4681,75.9938
uk,ukra1253,укр.,Ukrainian,,49.796,29.945
uk-x-gal,ukra1253,укр. (галиц.),Ukrainian (Galician),,49.796,29.945
uk-x-west,ukra1253,укр. (зап.),Ukrainian (western),,49.796,29.945
uz,uzbe1247,узб.,Uzbek,coordinates of Northern Uzbek (in Uzbekistan),40.89,69.21
vep,veps1250,вепс.,Veps,,60.3353,34.7865
wbl,wakh1245,пам. в.,Wakhi,,37.1768,73.9777
wen,sorb1249,луж.,Sorbian,coordinates of Upper Sorbian,51.24,14.41
wne,wane1241,ванеци,Wanetsi,,30.0501,67.8327
wsv,wota1240,вотапурско-катаркалайское,Wotapuri-Katarqalai,,34.958246,71.090876
x-balochi,balo1260,бел.,Balochi,coordinates of Eastern Balochi,28.00,62.00
x-barakai,0,варакаи,Barakai,"cited in Tomaschek, but I cannot find any trace of this dialect in the sources. Probably not Pamir but W. Iranian",-99,-99
x-mordvin,mord1256,морд.,Mordvinic,coordinates of Saransk,54.177,45.1833
x-nuristan,nuri1243,кафир.,Nuristani,coordinates of Kalasha,35.19,70.99
x-oldirn,iran1269,др.иран.,Old Iranian,,-99,-99
x-oldsl,slav1255,др.слав.,Old Slavic,,-99,-99
x-pamir,0,пам.,Pamir,coordinates of Gorno-Badakhshan,38,73
x-pamir-n,0,пам. н.??,Pamir,,38,73
x-rushani,rush1239,пам. руш.,Rushani,,38.07829,71.58549
x-sarm,0,сарм.,Sarmatian,coordinates of Volgograd (arbitrary),48.707085,44.517016
x-tchr,tokh1241,тохар.,Tocharian,coordinates of Tocharian B,41.65,82.90
x-vaynakh,chec1244,вейнах.,Vaynakh,coordinates of Achkhoi-Martan,43.1813,45.2846
xal,kalm1243,калм.,Kalmyk,,46.566667,45.316667
xbc,bact1239,кушан.,Bactrian,,36.81,66.85
xbo,bolg1250,булг.,Bulgar,,48.671481,42.729234
xcl,clas1249,арм.,Armenian,,38.592316,41.346422
xhu,hurr1240,хурр.,Hurrian,,40.7339,43.3154
xln,0,алан.,Alanic,coordinates of Arkhyz,43.5603,41.2798
xlu,luvi1235,лув.,Luwian,cuneiform,38.00,36.00
xme,0,мид.,Median,,37,47
xmf,ming1252,мегр.,Mingerlian,,42.5129,41.8719
xmn,pahl1241,пехл. (маних.),Manichaean Middle Persian,,30.06,52.7
xpg,phry1239,фриг.,Phrygian,,39.613,31.28
xpr,part1239,парф.,Parthian,,37.052,56.056
xsc,0,скиф.,Scythian,coordinates of Lugansk,48.5763,39.3335
xtg,tran1282,галл.,Gaulish,or Cisalpine? Glottolog Transalpine,43.97,3.3
xto,tokh1242,тохар. A,Tocharian A,,42.98,89.18
xtq,tums1237,сак. (Тумшук),Tumshuqese,,39.866667,79.066667
xum,umbr1253,умбр.,Umbrian,,42.75,13.02
yah,yazg1240,пам. язг.,Yazgulyami,,38.2801,71.565
yai,yagn1238,ягн.,Yaghnobi,,39.1486,69.2422
ydg,yidg1240,пам. и.,Yidgha,,36.014,71.5077
yrk,nene1251,нен.,Nenets,coordinates of Tundra Nenets,66.18,71.02
ysc,oldo1234,ясск.,Jassic,,48.48,39.46
zh,sini1245,кит.,Chinese,,34.09,109.05
zkh,khwa1238,хорезм.,Khwarezmian,,41.68,60.75
zza,zaza1246,заза,Zazaki,coordinates of Dimli,38.61,39.64
